,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months)
1131,POST,34.839,-118.905,2010,8,587.88,17.55,148.95,300.69,120.69,0,2
265,CASMALIA,34.845,-120.563,1993,6,351.27,0.0,85.5,203.04,28.26,0,1
1076,PERKINS,34.851,-119.695,2006,6,5804.37,288.45,773.91,3069.0,1673.01,0,1
1444,TEJON,34.852,-118.886,2003,6,483.12,50.67,72.63,267.48,92.34,0,1
306,COCHEO,34.881,-120.622,1989,6,471.69,1.71,217.17,241.83,3.78,0,1
1546,UNNAMED,34.89,-118.921,1999,7,430.11,36.18,371.79,22.05,0.09,0,0
561,GRAPEVINE,34.902,-118.91,2003,7,790.83,15.48,114.48,576.36,83.52,0,11
135,BLUE,34.905,-119.286,1984,8,800.82,52.56,452.52,237.33,58.41,0,1
26,ALISO,34.909,-119.729,1994,7,1378.35,31.41,1212.39,133.2,0.0,0,1
1199,RIDGE,34.913,-119.297,2006,7,1006.92,43.74,336.6,593.55,33.03,0,0
1268,SANTIAGO,34.916,-119.299,1988,6,657.72,24.03,623.16,10.53,0.0,0,0
1629,WASIOJA,34.919,-119.806,1996,7,1209.6,8.28,222.03,601.47,377.82,0,0
374,CUYAMA,34.92,-119.672,1996,7,673.47,53.82,43.83,484.56,34.56,0,2
70,BALD,34.93,-119.961,2006,7,839.97,0.0,99.9,552.96,187.11,0,3
749,LA BREA,34.936,-120.027,2009,8,34079.31,111.15,11494.53,16394.58,6039.9,0,0
654,HUDSON,34.948,-119.465,2017,7,480.42,0.0,18.18,394.65,67.59,0,0
1649,WHITEOAK,34.948,-118.473,1996,7,3400.56,1.08,3158.55,207.9,23.04,0,0
22,ALAMO,34.96,-120.288,2017,7,11839.77,869.58,4744.98,4051.62,1604.61,0,1
819,LOPEZ,34.985,-118.482,1995,7,659.07,0.72,340.02,231.84,36.63,0,11
1647,WHITE,34.986,-118.431,2007,6,4768.65,0.54,2893.86,1182.69,191.97,0,37
899,MIDDLE RIDGE,34.989,-118.657,1992,8,2169.18,0.0,1701.0,377.28,79.38,0,12
1469,TOUGH NUT,35.001,-115.524,2006,7,460.17,0.0,157.5,259.83,0.72,0,0
1372,SPANISH,35.004,-119.936,1994,9,1322.46,16.83,251.55,852.21,201.87,0,1
779,LIGHTNING,35.005,-114.652,2003,7,424.44,0.0,66.51,159.3,192.51,0,22
244,CANYON,35.016,-118.395,2011,9,5950.62,0.54,800.1,3485.25,1227.6,0,0
1371,SPANISH,35.021,-119.983,1999,7,5606.28,30.87,1778.94,1940.31,1856.16,0,1
1639,WESTFIELD,35.023,-119.377,1996,10,598.14,135.27,457.74,1.62,0.0,0,0
1244,SABODAN,35.025,-119.023,1993,5,789.39,30.06,441.72,310.5,6.57,0,1
1360,SODA,35.026,-119.58,2016,6,896.04,38.61,716.4,141.03,0.0,0,1
442,ELK,35.028,-119.506,1995,6,733.05,34.65,58.5,612.0,27.9,0,1
1414,SUEY RANCH WEST,35.034,-120.248,1986,10,509.94,11.25,401.85,84.6,0.54,0,1
1583,UNNAMED,35.04,-120.317,1986,8,547.83,6.3,328.95,156.6,1.8,0,0
1350,SLU-0864,35.041,-120.347,1987,5,1435.41,11.34,1342.62,51.57,1.8,0,0
284,CHIMNEY,35.041,-120.209,2003,8,516.6,2.61,333.63,171.81,4.86,0,0
1445,TEJON,35.041,-118.608,1990,8,3099.87,73.26,2259.81,586.08,154.8,0,24
1567,UNNAMED,35.044,-120.056,1985,7,953.28,0.0,270.72,554.13,128.43,0,0
373,CUYAMA,35.05,-119.895,2006,10,424.89,2.34,201.78,219.78,0.45,0,1
332,COTTON,35.061,-119.886,2010,5,843.39,30.51,489.24,323.64,0.0,0,0
1638,WEST,35.066,-118.412,2010,7,724.5,0.0,117.72,400.86,177.75,0,0
1598,UNNAMED,35.073,-120.299,1995,9,778.32,23.4,689.22,53.91,0.36,0,6
586,HACKBERRY COMPLEX,35.086,-115.317,2005,6,28258.38,4.59,12392.37,15356.07,37.98,0,1
622,HIGH,35.093,-118.384,2005,7,417.06,0.0,107.91,302.58,5.31,0,0
1515,UNNAMED,35.107,-118.752,1987,5,985.77,14.76,95.4,835.65,39.96,0,1
808,LOGAN,35.113,-120.103,1997,8,20084.94,1593.99,12493.89,4698.9,1268.82,0,1
1627,WASH,35.116,-119.786,2010,5,420.66,8.82,85.95,312.3,7.83,0,2
316,COMANCHE,35.117,-118.759,2011,9,10507.5,42.48,1737.18,7479.27,1247.94,0,10
505,FRONT,35.119,-120.097,2018,8,455.76,3.96,67.32,352.89,31.59,0,1
1262,SAND,35.119,-118.301,2012,7,557.82,44.82,185.49,306.9,4.86,0,1
68,BALD,35.122,-120.335,1995,10,1349.82,3.51,604.26,693.54,41.22,0,0
1590,UNNAMED,35.128,-118.68,1987,9,1328.76,0.18,496.8,823.41,6.21,0,1
1535,UNNAMED,35.14,-119.794,1996,6,649.35,0.0,16.2,533.07,64.89,0,1
1597,UNNAMED,35.15,-120.32,1990,9,605.88,11.07,460.53,130.23,3.87,0,0
1300,SHELL,35.151,-119.617,2000,7,2317.41,1007.46,1026.0,281.79,0.0,0,0
727,KELLER,35.152,-118.547,1995,8,460.08,4.14,341.55,96.75,15.12,0,0
1006,OPAL 2,35.155,-117.112,1994,8,590.22,0.0,438.12,152.1,0.0,0,10
1594,UNNAMED,35.167,-118.731,1987,9,493.65,0.0,209.07,276.12,8.46,0,0
1005,OPAL 2,35.177,-117.148,1993,8,3338.37,1.62,1210.95,2117.88,5.22,0,11
1551,UNNAMED,35.18,-118.478,2003,7,533.88,0.09,478.53,54.54,0.18,0,0
982,NSCRIPTION,35.183,-117.143,1986,5,1908.0,0.0,1017.09,890.91,0.0,0,12
1169,RANCHITA,35.185,-120.416,1986,8,766.44,0.27,504.09,247.23,2.52,0,1
32,AMERICAN,35.187,-119.896,1997,9,652.05,1.71,0.18,233.55,416.61,0,1
693,IVANPAH,35.19096713,-115.1834911,2020,6,422.46,0.0,421.92,0.45,0.0,0,1
151,BONNHEIM,35.197,-120.394,1984,6,656.55,0.0,83.43,550.26,15.03,0,0
1358,SODA,35.206,-119.917,1994,5,1385.37,1.44,1359.81,24.12,0.0,0,0
1020,OVERLOOK,35.209,-119.91,1996,5,1173.96,1.35,99.18,1066.59,6.84,0,0
926,MOCAL,35.211,-119.676,2006,5,418.68,92.61,156.69,169.38,0.0,0,0
388,DEER,35.222,-118.688,2016,7,749.79,0.0,215.37,498.06,35.64,0,0
1507,UNNAMED,35.223,-119.496,1993,5,1244.43,52.83,481.68,692.01,1.53,0,39
902,MIDWAY COMPLEX,35.226,-119.522,1997,6,2748.33,255.24,274.32,1368.0,823.14,0,0
397,DERBY ACRE,35.24,-119.545,1986,7,669.87,70.29,267.84,326.07,0.63,0,0
1601,VALLEY,35.246,-119.536,1993,6,1534.59,125.55,285.21,1103.4,3.51,0,0
645,HONOLULU,35.248,-119.521,1995,8,1257.21,106.02,1127.97,8.73,0.0,0,0
937,MORETZZ,35.253,-120.547,1984,5,641.61,0.0,222.03,410.94,8.1,0,0
1061,PEAK,35.259,-118.549,2000,8,530.82,96.03,398.07,31.14,5.04,0,0
490,FORT PIUTE,35.259,-115.023,1994,6,2569.59,0.0,1099.98,1400.49,0.18,0,2
1289,SEVEN MILE,35.262,-119.86,1996,5,1099.89,100.44,152.91,842.94,3.6,0,0
1329,SIMMLER,35.271,-119.974,1995,6,490.5,8.37,159.48,322.65,0.0,0,0
230,CAMP,35.278,-120.397,1988,7,2274.3,7.65,487.89,714.78,1057.14,0,7
108,BECK,35.281,-119.837,2006,7,708.03,70.65,112.41,457.83,67.14,0,0
705,JAWBONE COMPLEX,35.282,-118.222,2012,8,4942.35,0.0,1135.8,2887.02,802.35,0,0
726,KEENE COMPLEX,35.285,-118.492,2011,9,3549.6,1.44,923.58,2355.21,258.66,0,0
765,LAS PILITAS,35.287,-120.506,1985,7,30691.53,269.19,14676.57,11708.37,3910.23,0,0
416,DOME,35.2935454,-115.5846521,2020,8,17861.22,0.63,7155.81,10670.4,0.27,0,0
171,BRANCH,35.29474207,-120.0239454,2020,7,1174.5,8.46,81.81,1045.71,38.52,0,0
113,BENA,35.30659054,-118.6491567,2020,7,1162.89,28.35,76.59,986.94,69.21,0,1
1171,RANGE,35.307,-116.757,2005,5,1000.53,3.96,666.18,18.54,0.0,0,1
226,CALIENTE,35.311,-118.665,2003,6,503.82,8.1,281.88,213.75,0.09,0,0
163,BOULDER,35.32,-119.93,2019,6,482.49,85.68,134.1,262.71,0.0,0,0
901,MIDWAY,35.326,-119.502,1995,8,3150.36,150.93,2501.37,451.62,0.09,0,2
446,ELK HILLS 2,35.328,-119.569,1993,5,2175.66,18.54,271.62,1854.99,7.47,0,0
1141,POZO,35.329,-120.32,2010,8,546.21,0.0,86.94,226.98,229.86,0,1
1359,SODA,35.33064948,-119.9490293,2020,6,666.0,185.58,360.54,119.88,0.0,0,0
468,FIFTY-EIGHT,35.344,-120.276,1996,8,38325.15,119.34,12044.07,19011.6,7145.82,0,0
21,AIRPORT 2,35.352,-119.547,1996,8,428.4,3.15,69.48,349.47,0.45,0,0
370,CUESTA,35.356,-120.612,2015,8,977.94,10.35,485.91,257.31,221.58,0,0
1636,WELLS,35.356,-115.775,2011,8,746.1,0.0,610.29,135.81,0.0,0,1
514,GARLOCK 2,35.363,-117.793,1998,8,621.27,1.8,418.32,200.88,0.0,0,23
1090,PILITAS,35.365,-120.517,1987,8,428.4,1.35,94.95,300.06,31.68,0,0
1049,PARKHILL,35.367,-120.424,2015,6,727.92,0.72,110.79,519.57,96.84,0,0
174,BRECK,35.371,-118.787,1998,7,1405.98,1.26,54.63,758.43,591.66,0,0
175,BRECKENRIDGE,35.376,-118.805,1994,5,990.18,1.62,186.39,787.32,14.85,0,1
1436,TARINA,35.385,-118.793,2017,6,508.86,0.81,52.65,454.77,0.63,0,0
1437,TARINA,35.388,-118.758,2018,8,2013.3,8.1,409.23,1375.38,220.41,0,0
177,BRECKENRIDGE COMPLEX,35.39,-118.698,2011,9,11022.03,77.04,1803.96,8477.91,628.83,0,0
5,41,35.392,-120.683,1994,8,19603.26,34.65,2368.62,7647.57,9519.48,0,0
589,HALLORAN,35.392,-115.775,2005,8,422.46,0.0,402.75,19.71,0.0,0,0
1120,POND,35.39569232,-120.4330707,2020,8,791.01,2.7,81.0,562.59,144.72,0,0
1495,TWISSELMAN,35.396,-119.833,1984,8,2430.99,129.15,2049.03,249.48,0.27,0,0
874,MESA COMPLEX,35.396,-118.884,1996,5,2221.83,25.29,454.14,1413.18,329.04,0,0
333,COTTONWD 2,35.398,-118.769,1997,5,984.42,7.38,55.89,609.48,311.67,0,0
631,HILL,35.405,-120.481,2017,6,765.9,2.79,288.36,447.75,27.0,0,1
176,BRECKENRIDGE,35.407,-118.791,1998,9,540.09,3.24,60.84,386.01,90.0,0,1
1050,PARKHILL,35.416,-120.468,2003,7,507.6,1.08,57.15,196.2,253.17,0,0
338,COTTONWOOD,35.416,-118.267,2006,8,966.15,0.09,282.06,473.94,191.61,0,0
1542,UNNAMED,35.427,-120.031,1994,7,1176.66,8.82,422.19,745.11,0.54,0,0
90,BASIN,35.43,-118.439,2003,7,424.26,0.09,124.2,204.93,91.71,0,0
