,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months),PDepth>0.01in,PDepth>0.1in,PDepth>1in,SDepth>1in,DaysT<32d,DaysT>70d,DaysT>90d,HighestDaySnow,HighestDayRain,HighestDayTemp,TotalRain,TotalSnow,AvgMonthMax
636,NINE,35.693,-118.422,2005,7,501.84,0.45,103.59,392.4,5.22,0,0,63.0,40.0,5.5,0.0,0.0,228.0,89.5,6.5,48.1,42.550000000000004,527.8,6.5,24.69
637,SHIRLEY,35.702,-118.517,2014,6,1131.21,0.18,337.5,591.12,201.42,0,0,33.0,24.0,2.0,3.6219934355604733,0.0,209.25,64.08333333333333,69.93284063216659,33.8,38.30833333333334,323.0,374.4655954594603,23.132499999999997
638,UNNAMED,35.704,-119.994,1988,7,939.42,0.9,202.86,691.56,0.54,0,1,36.0,15.0,1.0,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,37.6,39.51175228921307,161.7,0.0,21.800804610486804
639,GOOSE,35.705,-119.635,1996,7,674.91,7.65,64.71,544.68,57.87,0,1,46.629629629629626,24.59259259259259,0.0,0.0,0.0,236.0,115.0,0.0,22.766666666666673,41.699999999999996,246.1851851851852,0.0,25.55
640,REFUGE,35.707,-119.617,2019,5,1379.61,11.7,297.72,1019.25,50.94,0,1,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,3.138077881268154,194.99819191814728,61.23320956669523,69.93284063216659,54.812286799367186,39.51175228921307,548.5262273578717,374.4655954594603,21.800804610486804
641,INDIAN,35.708,-117.968,2010,7,769.32,0.63,308.88,346.95,21.42,0,0,29.894736842105264,18.842105263157894,0.8421052631578947,4.0,4.625,189.5,87.125,104.0,33.43684210526315,39.987500000000004,197.00526315789472,295.0,22.42
642,UNNAMED,35.721,-120.017,1997,6,481.05,61.38,65.07,267.93,83.97,0,1,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,0.0,229.0,87.5,69.93284063216659,54.812286799367186,41.650000000000006,548.5262273578717,374.4655954594603,24.33
643,WAY,35.735,-118.461,2014,8,1597.86,0.18,460.26,986.58,112.59,0,0,33.0,24.0,2.0,3.6219934355604733,0.0,208.625,61.5,69.93284063216659,33.8,38.15,323.0,374.4655954594603,22.994999999999997
644,CHIMNEY,35.738,-121.075,2016,8,18999.72,36.0,7225.2,8877.06,2838.69,0,1,51.833333333333336,38.333333333333336,6.333333333333333,3.6219934355604733,0.0,200.14285714285714,56.714285714285715,69.93284063216659,66.0,39.542857142857144,671.7333333333333,374.4655954594603,23.06714285714286
645,ORCHARD,35.74,-120.074,1993,6,9029.88,1243.53,1273.59,5508.99,244.71,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,0.0,214.0,68.0,69.93284063216659,54.812286799367186,41.1,548.5262273578717,374.4655954594603,23.7
646,UNNAMED,35.742,-120.035,1988,7,1604.25,343.26,225.81,826.02,7.65,0,0,36.0,15.0,1.0,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,37.6,39.51175228921307,161.7,0.0,21.800804610486804
